id	Crop	Rotation	Herbicide	Herbicide_hist	Biomass	Seed	Block
3	C	3-year	l	l	0.0186	7	2
11	C	3-year	l	l	1.0089	32	2
15	C	3-year	l	l	0.5559	104	2
31	C	3-year	l	l	2.5736	807	2
41	C	3-year	l	l	0.8417	335	2
43	C	3-year	l	l	0.5322	137	2
53	C	3-year	l	l	0.1397	16	2
21	C	3-year	c	c	19.1	14526.66667	2
23	C	3-year	c	c	28	15197.33333	2
27	C	3-year	c	c	8.1	7103.333333	2
19	S	2-year	c	l	40.7	57483.33333	2
25	S	2-year	c	l	0.7	758	2
94	S	2-year	c	l	3.7	4732	2
22	S	2-year	c	c	60.6	40996.66667	2
27	S	2-year	c	c	12.9	7273.333333	2
36	S	2-year	c	c	44.7	47341	2
38	S	2-year	c	c	4.4549	3641.333333	2
75	S	2-year	c	c	23.2	20586.33333	2
102	S	2-year	c	c	1.208	669	2
3	C	4-year	l	l	0.1183	55	2
4	C	2-year	l	l	3.0832	2255	2
6	C	4-year	l	l	0.3742	96	2
7	C	4-year	l	l	0.086	5	2
10	C	4-year	l	l	0.129	12	2
15	C	4-year	l	l	3.2022	2133	2
2	C	4-year	c	c	2.0494	79	2
3	C	4-year	c	c	0.162	55	2
4	C	4-year	c	c	0.9738	1	2
10	C	4-year	c	c	8.9	7793.666667	2
11	S	4-year	c	l	12.6	16152.66667	2
13	S	4-year	c	l	21.1	26186	2
17	S	4-year	c	l	19	24332	2
21	S	4-year	c	l	28.8	4395.666667	2
64	S	4-year	c	l	7.8	5480	2
69	S	4-year	c	l	7.8	7146	2
1	S	4-year	c	c	7.4	8329.666667	2
55	S	4-year	c	c	87.1	89142.33333	2
56	S	4-year	c	c	4.771	3310	2
80	S	4-year	c	c	14.6	7780.666667	2
100	S	4-year	c	c	2.2	1809.666667	2
101	S	4-year	c	c	5	6250.333333	2
6	A	4-year	c	c	0.2592	14	3
7	A	4-year	c	c	0.0592	2	3
9	A	4-year	c	c	0.203	0	3
10	A	4-year	c	c	0.1192	0	3
11	A	4-year	c	c	0.2174	34	3
17	A	4-year	c	c	0.3833	0	3
18	A	4-year	c	c	0.2989	3	3
26	A	4-year	c	c	0.3144	0	3
1	A	4-year	l	l	0.0583	0	3
1	A	4-year	l	l	0.4583	13	3
4	A	4-year	l	l	0.1449	0	3
9	A	4-year	l	l	0.3455	20	3
14	A	4-year	l	l	1.2654	1	3
22	A	4-year	l	l	0.8377	4	3
24	A	4-year	l	l	0.1288	0	3
1	S	4-year	c	c	1.347	795	3
6	S	4-year	c	c	6.7	5303.666667	3
12	S	4-year	c	c	39.6	10226.33333	3
15	S	4-year	c	c	5.1	7570.666667	3
21	S	4-year	c	c	67	91292	3
22	S	4-year	c	c	3.7	4476.333333	3
28	S	4-year	c	c	179.8	58642.33333	3
33	S	4-year	c	c	9.7	8536	3
100	S	4-year	c	c	611.4	446457.3333	3
101	S	4-year	c	c	282.5	344470.6667	3
14	S	4-year	c	l	72.1	58647.66667	3
1	O	3-year	c	c	0.7067	390	3
1	O	3-year	c	c	0.1334	45	3
2	O	3-year	c	c	0.3414	110	3
7	O	3-year	c	c	1.5907	1513	3
9	O	3-year	c	c	0.2533	90	3
1	O	3-year	l	l	2.235	1422	3
2	O	3-year	l	l	0.2856	271	3
4	O	3-year	l	l	0.9739	362	3
6	O	3-year	l	l	0.4804	208	3
8	O	3-year	l	l	0.2979	254	3
9	O	3-year	l	l	0.2005	137	3
91	O	3-year	l	l	0.1486	219	3
1	C	2-year	c	c	17.4	13325.66667	3
2	C	2-year	c	c	13.7	17095.33333	3
9	C	2-year	c	c	15.3	19445.33333	3
10	C	2-year	c	c	39.8	23883.33333	3
11	C	2-year	c	c	15.2	13965.33333	3
13	C	2-year	c	c	4.5	4072.333333	3
31	C	2-year	c	c	2.5828	2315	3
5	C	2-year	l	l	1.5182	405	3
7	C	2-year	l	l	0.0675	14	3
9	C	2-year	l	l	0.1305	22	3
20	C	2-year	l	l	0.6647	145	3
22	C	2-year	l	l	4	3557.333333	3
102	C	2-year	l	l	32.9	28242.33333	3
3	S	2-year	c	c	25.6	19752	3
7	S	2-year	c	c	32.9	25753	3
11	S	2-year	c	c	19.8	29089	3
16	S	2-year	c	c	7.8	8259.666667	3
17	S	2-year	c	c	5.5	6669.666667	3
24	S	2-year	c	l	66.3	78894	3
1	C	3-year	c	c	0.6594	87	3
2	C	3-year	c	c	6.1	5283.333333	3
19	C	3-year	c	c	5.7	3244	3
3	C	3-year	l	l	2.2462	38	3
4	C	3-year	l	l	0.2211	21	3
7	C	3-year	l	l	0.9222	305	3
9	C	3-year	l	l	0.1717	20	3
11	C	3-year	l	l	0.0717	51	3
22	C	3-year	l	l	0.4726	101	3
15	C	4-year	c	c	171.8	156256.6667	3
17	C	4-year	c	c	11.4	6454.333333	3
19	C	4-year	c	c	2.577	1365	3
23	C	4-year	c	c	0.8461	816	3
24	C	4-year	c	c	0.5365	479	3
100	C	4-year	c	c	28.2	31088	3
2	C	4-year	l	l	13.3	6927	3
5	C	4-year	l	l	6.4	8710.666667	3
6	C	4-year	l	l	4.7014	5653	3
9	C	4-year	l	l	0.6102	294	3
10	C	4-year	l	l	1.405	1964	3
12	C	4-year	l	l	0.1345	25	3
20	C	4-year	l	l	1.4729	84	3
10	S	3-year	c	c	15.5	244210	3
19	S	3-year	c	c	27.7	30043.33333	3
99	S	3-year	c	c	118.6	143301	3
1	O	4-year	c	c	1.1877	142	3
12	O	4-year	c	c	0.9893	680	3
14	O	4-year	c	c	5.4	5126	3
19	O	4-year	c	c	2.435	1808	3
24	O	4-year	c	c	0.4474	636	3
3	O	4-year	l	l	3.9	2950.333333	3
7	O	4-year	l	l	1.5563	647	3
8	O	4-year	l	l	1.9403	418	3
10	O	4-year	l	l	7.3	5089.666667	3
12	O	4-year	l	l	2	2685	3
13	O	4-year	l	l	5.8	2913.333333	3
1	O	4-year	c	c	7	3805.666667	4
2	O	4-year	c	c	0.5494	179	4
3	O	4-year	c	c	0.7187	31	4
4	O	4-year	c	c	0.6554	205	4
8	O	4-year	c	c	0.0582	62	4
13	O	4-year	c	c	3.1	2158	4
14	O	4-year	c	c	0.1259	66	4
2	O	4-year	l	l	0.3325	127	4
3	O	4-year	l	l	0.8315	730	4
4	O	4-year	l	l	0.119	179	4
6	O	4-year	l	l	0.6489	591	4
9	O	4-year	l	l	1.3608	563	4
13	O	4-year	l	l	4.1	693	4
14	O	4-year	l	l	4.9	2081.666667	4
1	O	3-year	l	l	1.2426	151	4
2	O	3-year	l	l	0.1839	152	4
3	O	3-year	l	l	0.9694	26	4
5	O	3-year	l	l	0.0513	62	4
15	O	3-year	l	l	1.0421	277	4
21	O	3-year	l	l	0.5672	250	4
31	O	3-year	l	l	0.2699	123	4
1	O	3-year	c	c	0.1123	0	4
2	O	3-year	c	c	0.5333	185	4
9	O	3-year	c	c	0.4566	89	4
10	O	3-year	c	c	2.7577	125	4
61	O	3-year	c	c	0.2268	21	4
1	C	2-year	l	l	0.1385	0	4
2	C	2-year	l	l	0.253	19	4
7	C	2-year	l	l	0.626	78	4
2	C	2-year	l	l	23.4	20337	4
3	C	2-year	l	l	0.601	498	4
14	C	2-year	l	l	1.6386	997	4
15	C	2-year	l	l	1.0375	905	4
15	C	2-year	l	l	0.1365	3	4
20	C	2-year	l	l	8.9	9159.333333	4
100	C	2-year	l	l	12.1	16152.33333	4
1	C	2-year	c	c	55.3	17766.33333	4
5	C	2-year	c	c	0.6425	342	4
8	C	2-year	c	c	4.0242	1046	4
16	C	2-year	c	c	0.5665	522	4
22	C	2-year	c	c	7.1	5722.333333	4
47	C	2-year	c	c	3.506	4007	4
48	C	2-year	c	c	7.9	8805	4
103	C	2-year	c	c	12.3	7699.333333	4
14	S	2-year	c	c	31.1	30175	4
34	S	2-year	c	c	57.7	53456	4
10	C	2-year	c	c	22.5	37876	4
16	C	2-year	c	c	42	64783.66667	4
27	C	2-year	c	l	383.5	416298.6667	4
30	S	2-year	c	l	113.1	54736.66667	4
80	C	2-year	c	c	7.8	11847.33333	4
1	C	4-year	l	l	0.0418	2	4
5	C	4-year	l	l	0.0848	13	4
10	C	4-year	l	l	0.1607	46	4
12	C	4-year	l	l	0.9303	519	4
15	C	4-year	l	l	0.2342	126	4
4	C	3-year	l	l	0.1346	73	4
5	C	3-year	l	l	0.6003	11	4
8	C	3-year	l	l	0.2015	75	4
9	C	3-year	l	l	0.1012	33	4
10	C	3-year	l	l	0.4834	379	4
11	C	3-year	l	l	0.5644	577	4
12	C	3-year	l	l	0.0453	9	4
14	C	3-year	l	l	1.0021	912	4
2	C	3-year	c	c	0.2437	80	4
20	C	3-year	c	c	17.4	8829.666667	4
71	S	3-year	c	c	19.3	28872.33333	4
3	S	3-year	c	l	7.1	5923.666667	4
5	S	3-year	c	l	132.8	101806	4
6	S	3-year	c	l	20.7	27642	4
9	S	3-year	c	l	223.1	203096	4
9	S	3-year	c	l	71.2	203096	4
11	S	3-year	c	l	22.6	21578.33333	4
37	S	3-year	c	l	65.6	69904.66667	4
59	S	3-year	c	l	465.2	755203.6667	4
80	S	3-year	c	l	11.3	2857	4
10	S	4-year	c	c	67.8	88444.66667	4
38	S	4-year	c	c	113.7	171532.3333	4
41	S	4-year	c	c	2.5	1601.666667	4
2	S	4-year	c	l	44.8	25044.33333	4
10	S	4-year	c	l	5.4	4338.333333	4
20	S	4-year	c	l	9.8	5709.666667	4
40	S	4-year	c	l	80.2	23672.33333	4
